Pl.,Bib,Noc,Name,PDS Licence,Split 1,Split 2,Split 3,Split 4,Time,Gap
91,128,USA,Ayrton FRENCH,PDS00914,0:23.012,1:11.651,1:39.870,1:55.556,2:07.347,+14.322
92,150,USA,Damien COMEAU,PDS01819,0:22.582,1:11.521,1:39.580,1:56.305,2:07.847,+14.822
93,140,USA,Dean YAGER,PDS01336,0:22.943,1:11.435,1:39.926,1:56.175,2:08.217,+15.192
94,59,USA,Shay KONIECZKA,PDS01527,0:22.756,1:10.671,1:39.402,1:56.581,2:08.367,+15.342
95,161,USA,Charlie BLACK,PDS00157,0:23.259,1:12.018,1:40.287,1:56.725,2:08.575,+15.550
96,70,USA,Colin MULALLY,PDS00031,0:22.742,1:12.141,1:41.371,1:57.476,2:09.092,+16.067
97,147,USA,Kaden MCKEOWN,PDS01185,0:23.690,1:12.760,1:41.101,1:57.226,2:09.248,+16.223
98,66,USA,Jonah FREEDMAN,PDS00014,0:23.345,1:11.632,1:39.835,1:57.286,2:09.550,+16.525
99,133,USA,Tyler SHERIDAN,PDS01228,0:23.333,1:11.306,1:39.659,1:57.885,2:09.795,+16.770
100,170,USA,Caleb COOLEY,PDS01821,0:23.223,1:11.822,1:40.319,1:57.368,2:09.856,+16.831
101,113,CAN,Vincent BROCHET,PDS01122,0:23.473,1:12.353,1:40.216,1:57.848,2:10.005,+16.980
102,153,USA,Stone KEPLER,PDS00398,0:22.891,1:13.832,1:42.123,1:57.880,2:10.168,+17.143
103,51,USA,Max CANTERBURY,PDS01818,0:23.489,1:12.627,1:41.122,1:57.982,2:10.511,+17.486
104,157,USA,Gavin GERY,PDS01570,0:23.494,1:13.023,1:41.702,1:58.509,2:10.616,+17.591
105,134,USA,Cooper SNOWDON,PDS01850,0:23.844,1:14.244,1:42.525,1:58.998,2:10.908,+17.883
106,154,USA,Conor HENNESSEY,PDS00473,0:23.599,1:13.145,1:41.412,1:59.076,2:11.100,+18.075
107,73,USA,Cristian SUAREZ,PDS00515,0:23.551,1:13.049,1:42.361,1:59.339,2:11.243,+18.218
108,164,CAN,Luke BEATTIE,PDS00549,0:23.857,1:13.146,1:41.904,1:59.674,2:11.635,+18.610
109,167,USA,Vincent BERTOLANI,Pds01179,0:22.634,1:12.808,1:41.061,1:59.271,2:11.986,+18.961
110,146,USA,Eli HARDY,PDS00168,0:23.625,1:13.141,1:42.720,1:59.394,2:12.034,+19.009
111,143,USA,Liam SIMMONS,PDS01161,0:23.348,1:14.373,1:43.190,1:59.922,2:12.087,+19.062
112,135,USA,Quinn OKUPINSKI,PDS00407,0:24.598,1:14.709,1:43.071,2:00.099,2:12.691,+19.666
113,169,CAN,Liam BIELASKI,PDS00445,0:24.214,1:16.499,1:44.719,2:01.066,2:12.904,+19.879
114,162,CAN,Ben HORSWILL,PDS01600,0:24.059,1:14.400,1:43.204,2:01.017,2:13.265,+20.240
115,131,USA,Justin DOUCETTE,PDS00556,0:23.940,1:14.666,1:44.007,2:02.398,2:14.782,+21.757
116,152,USA,Patrick MULHERN,PDS00537,0:24.281,1:15.919,1:45.638,2:03.949,2:16.484,+23.459
117,159,USA,Brady MILLER,PDS00505,0:24.596,1:16.751,1:46.787,2:04.194,2:16.529,+23.504
118,72,USA,Colby SMITH,PDS00216,0:24.734,1:15.900,1:45.786,2:04.226,2:16.733,+23.708
119,52,USA,Ty DAVIS,PDS00111,0:32.807,1:20.827,1:49.009,2:05.159,2:17.251,+24.226
120,151,USA,Collin BENNETT,PDS00388,0:25.040,1:16.830,1:47.670,2:05.092,2:17.645,+24.620
121,155,USA,Rowan GARFOOT,PDS01133,0:25.096,1:17.246,1:47.785,2:05.460,2:17.655,+24.630
122,126,USA,Mikah FIGUEROA,PDS00769,0:22.892,1:11.079,1:52.568,2:09.873,2:21.948,+28.923
123,160,USA,Emmett BELL,PDS00387,0:25.067,1:18.666,1:49.116,2:09.724,2:23.374,+30.349
124,139,USA,Cruze GAINEY,PDS00164,0:22.904,1:27.450,1:55.644,2:12.171,2:23.923,+30.898
125,158,USA,Julian JONES,PDS01853,0:26.432,1:22.430,1:54.865,2:14.592,2:27.860,+34.835
126,27,USA,Samuel HAWKINBERRY,PDS00123,0:28.092,1:12.615,1:39.266,2:20.127,2:32.166,+39.141
127,165,CAN,Ludovic LAFONTAINE,PDS00859,0:22.744,1:09.986,1:38.542,2:26.817,2:39.571,+46.546
128,16,USA,Lucas DEDORA,PDS00114,0:21.327,1:05.360,1:31.079,2:53.633,3:07.984,+1:14.959
